"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"16450",2890.9273565794,-6.45011237174317,0.165877635560735,-38.8847619508146,0,0
"50706",40155.900873018,-7.70831345244516,0.116570613321065,-66.1257004045651,0,0
"12836",9036.50024665346,-7.1792787744856,0.17680658137692,-40.6052688682479,0,0
"52377",1283.09653849306,-6.97686392942487,0.202271811515796,-34.492517158675,1.03860834081619e-260,4.78097384486214e-257
"12818",6444.39296696455,-8.26938073313009,0.245067217337741,-33.7433167233199,1.33980802710529e-249,4.93397704061795e-246
"14314",3703.10816348016,-6.34211196416647,0.193003234546947,-32.8601330389817,8.1622501360231e-237,2.50485852924322e-233
"13388",8435.04662462803,-7.228186906999,0.224899885606618,-32.1395757383449,1.23518581573511e-226,3.24906806073295e-223
"12293",2483.87008514556,-8.44165044041947,0.269195035404088,-31.3588637611675,7.36625359609242e-216,1.69543534331062e-212
"12560",4124.45484793043,-7.17743952167478,0.23315957727834,-30.7833785146494,4.37402748800198e-208,8.94877423739784e-205
"110308",27553.0955969427,-8.95859060564835,0.300133355460025,-29.8487003949202,9.12637587232792e-196,1.68043958937174e-192
"12822",4979.87542219199,-6.45525017201532,0.220042292154987,-29.3364066916216,3.56236464591031e-189,5.96307456592241e-186
"74525",584.913426247849,3.26175926078875,0.115161732191718,28.3232910682403,1.78576943241704e-176,2.74011437992458e-173
"50916",1201.0298991753,-8.52718847606647,0.310566472027724,-27.4568868313166,5.74929781360279e-166,7.65176388713769e-163
"22061",3418.14363131099,-8.0487813083405,0.293147136607323,-27.4564554902066,5.81788380057175e-166,7.65176388713769e-163
"26432",389.70107589748,-4.99558968927606,0.183264492321553,-27.2589066544919,1.30325004468324e-163,1.59978287151683e-160
"94214",1304.38130316056,-6.43172925955151,0.238170907668888,-27.004680472953,1.30221023844801e-160,1.49859982003395e-157
"13717",6454.3312066335,-6.09456052437325,0.23160925625453,-26.3139764918357,1.32700447943853e-152,1.43730196940598e-149
"12827",21905.2887709847,-6.55569520388564,0.250615523971799,-26.1583763846302,7.91377221155929e-151,8.0953493184134e-148
"21345",53015.1616332781,-7.45453761744175,0.287746496389053,-25.9066147146504,5.60958436796631e-148,5.43627773512441e-145
"20272",3230.59117281834,-8.07266700967238,0.321047636787256,-25.1447638439456,1.61242150190048e-139,1.48447585572468e-136
"58250",1091.45617176687,-6.87091333210769,0.27729267912994,-24.7785601612942,1.52664642749545e-135,1.3385781271178e-132
"71943",673.731006450171,2.54680040626091,0.102822082535849,24.7690023723549,1.93525786340531e-135,1.61972286540373e-132
"104099",974.804666960207,-6.59908535048204,0.27276612340609,-24.1931999035578,2.62334967167272e-129,2.10016250019608e-126
"242050",754.041221264361,-6.99660819357686,0.293480821423629,-23.8400865843206,1.28320495122272e-125,9.84485531952663e-123
"19038",607.164533108317,-4.95348358250113,0.209470173920698,-23.6476797139455,1.24701395160066e-123,9.18450715632919e-121
"27226",509.019008682486,-6.96059893755801,0.295486826795074,-23.5563764823443,1.08000199340972e-122,7.64849104025122e-120
"14726",1699.4311497208,-7.88748679056955,0.337524314276947,-23.3686477001407,8.90790488325321e-121,6.07486120797561e-118
"16950",583.520490233991,-5.16053678580429,0.221319271364769,-23.3171596579989,2.96961433497547e-120,1.95283959821084e-117
"268860",563.440003143867,-6.16044461693724,0.266708902041445,-23.098008989516,4.84829894183355e-118,3.07833546262004e-115
"16667",20186.6507619487,-7.27051732664158,0.316848903750254,-22.9463231230629,1.60345232865746e-116,9.84145590918994e-114
"17540",1367.12961901603,-8.29913925040609,0.363641047637866,-22.8223389639743,2.75182915313116e-115,1.63449774827755e-112
"108927",3196.04965488912,-6.05401001763159,0.266433116793775,-22.7224381506505,2.68862808637514e-114,1.50017299861895e-111
"93960",775.425802377881,-7.01872335011563,0.308889353594513,-22.7224514812164,2.68781224525188e-114,1.50017299861895e-111
"16009",5356.76478422916,-7.40560377294061,0.32720143448576,-22.633164138108,2.0439940009329e-113,1.1069429864464e-110
"14118",3527.56575360249,-6.45496947684993,0.287590557880429,-22.4449979318643,1.43210424513155e-111,7.53409584731634e-109
"68810",1098.81580598622,-7.71780496621514,0.34769634607463,-22.1969688590244,3.67405282278909e-109,1.87917596183376e-106
"56069",1560.22308674348,-8.4702616649047,0.383086703520873,-22.1105603171716,2.50144717815832e-108,1.24484180787646e-105
"22004",33055.2345558522,-8.80193166054823,0.398433519023138,-22.0913433240467,3.82840880130355e-108,1.85506555943164e-105
"330409",184.74675747466,4.80191542687826,0.218398438758453,21.9869494222399,3.83946909717183e-107,1.81272165349295e-104
"26360",1595.77848398143,-6.80836463631624,0.31191850696012,-21.8273827438739,1.2751596605653e-105,5.86987870749723e-103
"207792",228.005419623285,-4.42419939472108,0.202860039063678,-21.8091222654863,1.90087931995229e-105,8.53680266299548e-103
