EntrezGeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
215866,86.30914544,5.17775869,1.708561897,3.030477677,NA,NA
18948,12.55868056,5.788304919,2.408516848,2.403265281,NA,NA
19259,16.20117704,7.134685797,2.260788722,3.155839255,NA,NA
212753,5.390083835,-2.48064838,2.933759522,-0.845552733,NA,NA
382231,5.469940997,-1.90497676,2.921918048,-0.65196105,NA,NA
170676,34.40525491,-6.89E-06,0.546099839,-1.26E-05,0.999989938,0.999989938
72133,244.7837658,-2.22E-05,0.14091791,-0.000157746,0.999874137,0.999928442
242838,1.502577254,-0.000747467,1.31746215,-0.000567353,0.999547317,0.999655899
68667,953.6574026,-0.000225207,0.291668815,-0.000772133,0.999383927,0.999546782
67531,7.531045948,0.000689635,0.525707691,0.001311822,0.998953317,0.999170375
18458,17205.23633,0.000338033,0.25657128,0.0013175,0.998948787,0.999170375
98952,3108.943585,0.0004734,0.339750365,0.001393375,0.998888248,0.999170375
65106,2970.982496,0.000589974,0.303975277,0.001940863,0.998451416,0.998831138
72789,2.497207853,-0.002250428,1.061660591,-0.002119724,0.998308706,0.998742635
100463512,0.919068526,-0.003270809,1.504764283,-0.002173635,0.998265691,0.998742635
231510,180.3629464,0.001538934,0.523506916,0.002939663,0.997654492,0.998196607
98376,146.9715337,-0.000654872,0.184594883,-0.003547616,0.997169418,0.997765487
634650,8.766967758,-0.002079915,0.572230489,-0.00363475,0.997099895,0.997750143
74764,736.2799023,0.000743808,0.177762481,0.004184277,0.99666144,0.997365602
77056,336.1506308,-0.001055839,0.231405759,-0.004562719,0.99635949,0.99711763
100038608,4.129077325,-0.002719705,0.589912288,-0.004610354,0.996321483,0.99711763
229096,2762.783563,-0.000574466,0.123321897,-0.004658265,0.996283255,0.99711763
66530,978.7346069,0.000941269,0.18168894,0.005180663,0.995866448,0.996786742
22145,4808.208586,0.001483901,0.281343709,0.005274334,0.99579171,0.996766119
17916,3.66540977,0.003576042,0.632369998,0.005654984,0.995488,0.996516285
11432,387.6169053,-0.0011712,0.203896993,-0.005744075,0.995416916,0.996499303
78514,1011.034997,0.001235069,0.209674082,0.005890422,0.995300151,0.996436585
74057,2.23864534,-0.004538715,0.743723616,-0.006102691,0.995130788,0.9963212
246316,13.24003672,-0.004806003,0.765086002,-0.006281651,0.994988,0.996232412
329910,75.32046973,-0.003856754,0.610957156,-0.006312642,0.994963274,0.996232412
